oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
629103400010558,240923694,2460163.735649218,60163.2369444,17.593887,0.024031794,0,zg,217.5668764,23.0623661,3.904,0.254,20230807236933,629,3,4,21.04,26.281368,0.035553765,-0.08707201,3.292388e-05,30.0,1.793,1
629103400010558,241123975,2460165.7383113266,60165.2397569,17.547035,0.023511322,0,zg,217.5669271,23.0623657,2.713,0.093,20230809239757,629,3,4,20.67,26.15498,0.038803313,-0.10476842,4.7533493e-05,30.0,1.916,1
629103400010558,241624488,2460170.7430712255,60170.2448843,17.45164,0.022523556,516,zg,217.566895,23.0623469,1.219,0.01,20230814244884,629,3,4,20.34,26.100765,0.042480376,-0.047207776,6.325658e-05,30.0,2.282,1
629103400010558,241822546,2460172.723508287,60172.225463,17.604292,0.024150673,32768,zg,217.5669202,23.0624054,2.793,0.145,20230816225463,629,3,4,20.69,26.07584,0.04149894,-0.07604947,5.0701372e-05,30.0,1.997,1
629103400010558,242020281,2460174.7007187656,60174.2028125,17.567242,0.023732847,0,zg,217.5669072,23.06235,3.057,0.186,20230818202801,629,3,4,20.84,26.260824,0.035926227,-0.07466535,3.5180405e-05,30.0,1.739,1
629103400010558,253651726,2460291.0147041017,60290.5172685,17.686504,0.025133846,0,zg,217.5668947,23.062372,2.754,0.119,20231212517257,629,3,4,21.0,26.25099,0.03373143,-0.07241623,2.9387136e-05,30.0,1.919,1
629103400010558,255747482,2460311.9738063915,60311.4748264,17.622135,0.024357393,0,zg,217.5668777,23.0623775,2.349,0.096,20240102474826,629,3,4,20.4,26.302505,0.04134038,-0.086669974,5.854854e-05,30.0,1.71,1
629103400010558,256144239,2460315.941693173,60315.4423958,17.487398,0.022882853,0,zg,217.5669479,23.0623938,2.139,0.047,20240106442384,629,3,4,20.56,26.19919,0.040626183,-0.03934378,4.9477618e-05,30.0,2.033,1
629103400010558,257152949,2460326.0296111195,60325.5294907,17.554462,0.023592237,0,zg,217.5668546,23.0624077,1.272,-0.009,20240116529410,629,3,4,20.76,26.415188,0.038288854,-0.10878006,4.212886e-05,30.0,1.116,1
629103400010558,259743032,2460351.9325028365,60351.4303241,17.721537,0.025577342,0,zg,217.5668977,23.0623629,4.297,0.212,20240211430324,629,3,4,21.39,26.397146,0.027879136,-0.11006285,1.9005633e-05,30.0,1.219,1
629103400010558,259943407,2460353.93640013,60353.4340741,17.75699,0.026041724,0,zg,217.5669052,23.062349,4.327,0.119,20240213434062,629,3,4,21.36,26.431427,0.030381832,-0.124304466,2.3676746e-05,30.0,1.18,1
629103400010558,260143284,2460355.9353174763,60355.4328472,17.649263,0.02467868,32768,zg,217.5668865,23.062361,2.438,0.002,20240215432824,629,3,4,21.13,26.431772,0.036668446,-0.14272088,3.429564e-05,30.0,1.164,1
629103400010558,260939459,2460363.8976098946,60363.3945949,17.516617,0.023186108,0,zg,217.5669884,23.0623728,0.78,0.045,20240223394595,629,3,4,19.24,26.172867,0.03675032,-0.067584254,0.00013956276,30.0,1.232,1
629103400010558,261547601,2460369.979413214,60369.4760185,17.87209,0.027663156,0,zg,217.5668654,23.0623668,2.885,0.139,20240229475810,629,3,4,20.9,26.473488,0.040624354,-0.13356718,4.645438e-05,30.0,1.011,1
